formula,read_once,trace_length,eps,sym_acc,raw_acc,norm_acc,raw_ece,norm_ece,raw_brier,norm_brier,raw_auc,norm_auc,raw_max_score,raw_frac_over1,noise,pos_rate
ijcnn_n4,True,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,beta,0.829
ijcnn_n4,True,3,0.1,0.9996666666666668,0.9984444444444444,0.9984444444444444,0.0555928350820743,0.0555928310032177,0.0107921576794683,0.0107921575995454,0.9999851851851852,0.9999851851851852,1.0,0.0,beta,0.829
ijcnn_n4,True,3,0.2,0.9974444444444444,0.9832222222222224,0.9832222222222224,0.0969066938832402,0.0969066900278752,0.0280259347733246,0.0280259346865813,0.9994256944444444,0.9994256944444444,0.9999963641166688,0.0,beta,0.829
ijcnn_n4,True,3,0.3,0.9908888888888888,0.9522222222222224,0.9522222222222224,0.1185518617824547,0.1185518578344749,0.0481313164444695,0.0481313161811599,0.9956263888888888,0.9956263888888888,0.999889075756073,0.0,beta,0.829
ijcnn_n4,True,3,0.4,0.9747777777777776,0.9092222222222224,0.9092222222222224,0.1275105739335219,0.1275105707405342,0.0670955980762931,0.0670955980608988,0.9859592592592592,0.9859592592592592,0.9995899399121604,0.0,beta,0.829
ijcnn_n4,True,3,0.5,0.9463333333333334,0.8632222222222222,0.8632222222222222,0.1222166629218392,0.1222166596402724,0.0872792157248887,0.0872792159151842,0.9639888888888888,0.9639888888888888,0.9991907477378844,0.0,beta,0.829
ijcnn_n4,True,3,0.6,0.9,0.8310000000000001,0.8310000000000001,0.1053876233498255,0.1053876218481196,0.1059075638138116,0.1059075642749535,0.9242613425925926,0.9242613425925926,0.996052384376526,0.0,beta,0.829
ijcnn_n4,True,3,0.7,0.8468888888888889,0.8104444444444444,0.8104444444444444,0.0882947805490758,0.088294779393408,0.1220283505471577,0.1220283505734619,0.8690962962962963,0.8690964120370371,0.9919307231903076,0.0,beta,0.829
ijcnn_n4,True,3,0.8,0.7903333333333333,0.8016666666666667,0.8016666666666667,0.0586868997679816,0.0586868980063332,0.1372516095871458,0.1372516094106431,0.7892288194444445,0.7892287037037038,0.9853383700052896,0.0,beta,0.829
ijcnn_n4,True,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.1,0.8943333333333333,0.8943333333333333,0.8943333333333333,0.1056666666666666,0.1056666666666666,0.1056666666666666,0.1056666666666666,0.8245833333333333,0.8245833333333333,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.2,0.8217777777777778,0.8217777777777778,0.8217777777777778,0.1782222222222222,0.1782222222222222,0.1782222222222222,0.1782222222222222,0.7069444444444445,0.7069444444444445,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.3,0.765888888888889,0.765888888888889,0.765888888888889,0.234111111111111,0.234111111111111,0.2341111111111111,0.2341111111111111,0.6128472222222222,0.6128472222222222,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.4,0.7257777777777777,0.7257777777777777,0.7257777777777777,0.2742222222222222,0.2742222222222222,0.2742222222222222,0.2742222222222222,0.5481944444444444,0.5481944444444444,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.5,0.6962222222222222,0.6962222222222222,0.6962222222222222,0.3037777777777777,0.3037777777777777,0.3037777777777777,0.3037777777777777,0.5013888888888889,0.5013888888888889,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.6,0.67,0.67,0.67,0.33,0.33,0.33,0.33,0.4614583333333333,0.4614583333333333,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.7,0.6532222222222223,0.6532222222222223,0.6532222222222223,0.3467777777777778,0.3467777777777778,0.3467777777777778,0.3467777777777778,0.4376388888888889,0.4376388888888889,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.8,0.6465555555555556,0.6465555555555556,0.6465555555555556,0.3534444444444444,0.3534444444444444,0.3534444444444444,0.3534444444444444,0.4232638888888889,0.4232638888888889,1.0,0.0,bitflip,0.829
majority3,False,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,beta,0.879
majority3,False,3,0.1,0.9994444444444444,0.9956666666666668,0.9968888888888888,0.0499987806864212,0.0534251997693209,0.0120602398054475,0.0122455304067134,0.9999404177807932,0.99994862553548,1.0787373781204224,0.4539999999999999,beta,0.879
majority3,False,3,0.2,0.996777777777778,0.9693333333333332,0.9754444444444444,0.0734740640529327,0.084319210095538,0.028836240124679,0.0289532539653076,0.9989715987368568,0.9991257221304172,1.1302520434061687,0.4765555555555556,beta,0.879
majority3,False,3,0.3,0.991222222222222,0.9182222222222222,0.9305555555555556,0.0744156617679529,0.1003388777035805,0.0488252180337793,0.0468403048110349,0.9915992110827792,0.993230426329018,1.1721993684768677,0.4971111111111111,beta,0.879
majority3,False,3,0.4,0.9785555555555556,0.8857777777777778,0.9034444444444446,0.0717182277242342,0.1053642013221979,0.0660547483414747,0.0608874492971344,0.979046514257782,0.9838927374138642,1.199045141537984,0.528888888888889,beta,0.879
majority3,False,3,0.5,0.9498888888888888,0.8658888888888888,0.8767777777777778,0.0850474350717332,0.0943756244563394,0.0881634131645558,0.0764363580214744,0.9352361036633338,0.9546919781661564,1.2224442958831787,0.5827777777777778,beta,0.879
majority3,False,3,0.6,0.9095555555555556,0.8594444444444443,0.8651111111111112,0.1019466101527213,0.0887212950885295,0.1053148230199237,0.0880417957412255,0.8764998911712526,0.9193788736042258,1.219050447146098,0.6458888888888888,beta,0.879
majority3,False,3,0.7,0.8664444444444444,0.8585555555555556,0.8602222222222222,0.116840842783451,0.0715791430109076,0.1204283189512595,0.0985718460061742,0.7867217984588878,0.864088702116871,1.2154434521993,0.7105555555555556,beta,0.879
majority3,False,3,0.8,0.8214444444444444,0.858111111111111,0.8583333333333334,0.1265906699895859,0.034296478493346,0.1312823166688231,0.1087846177019685,0.6730231166850884,0.7723339084841433,1.212470610936483,0.7768888888888889,beta,0.879
majority3,False,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bitflip,0.879
majority3,False,3,0.1,0.9044444444444444,0.9044444444444444,0.9044444444444444,0.0955555555555555,0.0955555555555555,0.0955555555555555,0.0955555555555555,0.8003345116021171,0.8003345116021171,1.0,0.0,bitflip,0.879
majority3,False,3,0.2,0.8447777777777778,0.8447777777777778,0.8447777777777778,0.1552222222222222,0.1552222222222222,0.1552222222222222,0.1552222222222222,0.6734946065931982,0.6734946065931982,1.0,0.0,bitflip,0.879
