schema_version,run_id,cell_id,formula_id,stratum,monitor_id,monitor_name,construction,encoding,online_label_mode,requested_device,effective_device,trace_seed,repetition,trace_length,batch_size,early_termination,warmup_iterations,inner_iterations,status,duration_s_per_batch,duration_s_per_trace,duration_s_per_cell,throughput_traces_s,failure_reason,warnings_json
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_original_structured,StructuredRuleRunnerMonitor,original,structured,exact,cpu,cpu,3301,2,32,64,False,2,4,success,0.012580955250086845,0.00019657742578260695,6.143044555706467e-06,5087.054101043576,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_original_structured,StructuredRuleRunnerMonitor,original,structured,exact,cpu,cpu,4409,3,32,1,False,2,10,success,0.00946361899987096,0.00946361899987096,0.0002957380937459675,105.66782115949884,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_original_structured,StructuredRuleRunnerMonitor,original,structured,exact,cpu,cpu,4409,3,32,64,False,2,8,success,0.01174927200008824,0.00018358237500137875,5.736949218793086e-06,5447.146001856059,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_original_structured,StructuredRuleRunnerMonitor,original,structured,exact,cpu,cpu,5501,4,32,1,False,2,10,success,0.009129683299761382,0.009129683299761382,0.0002853026031175432,109.53282465188431,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_original_structured,StructuredRuleRunnerMonitor,original,structured,exact,cpu,cpu,5501,4,32,64,False,2,8,success,0.011484553749596671,0.00017944615233744798,5.6076922605452495e-06,5572.702378814469,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,1103,0,32,1,False,2,20,success,0.004778300050020334,0.004778300050020334,0.00014932187656313545,209.27944865993595,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r0::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,1103,0,32,64,False,2,2,success,0.03144982049889222,0.000491403445295191,1.5356357665474718e-05,2034.9877673309554,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r1::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,2207,1,32,1,False,2,20,success,0.004853178200028197,0.004853178200028197,0.00015166181875088115,206.05054230116463,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r1::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,2207,1,32,64,False,2,2,success,0.03217875750124222,0.0005027930859569096,1.5712283936153426e-05,1988.8897201058608,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r2::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,3301,2,32,1,False,2,18,success,0.004881985666846352,0.004881985666846352,0.0001525620520889485,204.8346857695665,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,3301,2,32,64,False,2,2,success,0.032881361001273035,0.0005137712656448912,1.605535205140285e-05,1946.3914525168886,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,4409,3,32,1,False,2,11,success,0.00502335227263922,0.00502335227263922,0.00015697975851997563,199.07025144278998,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r3::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,4409,3,32,64,False,2,2,success,0.03149588750056864,0.000492123242196385,1.5378851318637032e-05,2032.0113220763985,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r4::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,5501,4,32,1,False,2,18,success,0.005367254277694479,0.005367254277694479,0.00016772669617795246,186.31500358681595,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_default::cpu::r4::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,bounded_default,flat,sound_default,cpu,cpu,5501,4,32,64,False,2,2,success,0.03266135299963935,0.0005103336406193648,1.594792626935515e-05,1959.5024125518223,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r0::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,1103,0,32,1,False,2,9,success,0.005600024555557563,0.005600024555557563,0.00017500076736117384,178.57064555325607,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r0::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,1103,0,32,64,False,2,2,success,0.03272763799941458,0.0005113693437408529,1.5980291991901652e-05,1955.5337296612975,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r1::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,2207,1,32,1,False,2,20,success,0.004901079150113219,0.004901079150113219,0.00015315872344103809,204.03669668891172,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r1::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,2207,1,32,64,False,2,2,success,0.03308515399839962,0.000516955531224994,1.6154860350781064e-05,1934.4023607414908,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r2::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,3301,2,32,1,False,2,18,success,0.00471410200003043,0.00471410200003043,0.00014731568750095094,212.12947874134775,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r2::b64,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,3301,2,32,64,False,2,2,success,0.03158489349880256,0.00049351396091879,1.5422311278712186e-05,2026.2851290736935,,[]
rq2.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_bounded_flat_exact::cpu::r3::b1,nested_next_control,all_applicable,rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,bounded_exact_online,flat,exact_online,cpu,cpu,4409,3,32,1,False,2,20,success,0.004877504899923224,0.004877504899923224,0.00015242202812260075,205.02285912941693,,[]
