schema_version,benchmark_schema_version,run_id,cell_id,formula_id,formula,monitor_id,monitor_name,architecture,construction,backend,requested_device,effective_device,repetition,worker_pid,status,failure_stage,failure_reason,compile_total_s,compile_stages_json,artifact_stats_json,validation_duration_s,warnings_json,startup_host_rss_bytes,baseline_host_rss_bytes,peak_compile_host_rss_bytes,peak_observed_host_rss_bytes,host_memory_limit_bytes,baseline_gpu_allocated_bytes,peak_compile_gpu_allocated_bytes,peak_compile_gpu_reserved_bytes,provenance_json,stratum,encoding,online_label_mode,persistent_bytes
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_flat::cpu::r0,nested_next_control,X X a,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,0,1127,success,,,0.039630725001188694,"{""formula_parse"": 0.03365684099844657, ""monitor_initialization"": 2.434997441014275e-06, ""rules_and_cilp_lowering"": 0.0011726289994840045}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2448, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 2448, ""persistent_tensor_logical_elements"": 624, ""persistent_tensor_nonzero_elements"": 131, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 16}",,[],13340672,463208448,467529728,935059456,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,flat,exact,2448
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_flat::cpu::r1,nested_next_control,X X a,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,1,1129,success,,,0.03896612899916363,"{""formula_parse"": 0.032980719002807746, ""monitor_initialization"": 2.6099987735506147e-06, ""rules_and_cilp_lowering"": 0.001226295997184934}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2448, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 2448, ""persistent_tensor_logical_elements"": 624, ""persistent_tensor_nonzero_elements"": 131, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 16}",,[],13443072,465313792,469573632,492527616,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,flat,exact,2448
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_flat::cpu::r2,nested_next_control,X X a,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,2,1131,success,,,0.04071070899954066,"{""formula_parse"": 0.03386162100287038, ""monitor_initialization"": 2.878001396311447e-06, ""rules_and_cilp_lowering"": 0.0014259179988584947}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2448, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 2448, ""persistent_tensor_logical_elements"": 624, ""persistent_tensor_nonzero_elements"": 131, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 16}",,[],13389824,463659008,467591168,494698496,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,flat,exact,2448
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_flat::cpu::r3,nested_next_control,X X a,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,3,1133,success,,,0.04001167800015537,"{""formula_parse"": 0.03401609099819325, ""monitor_initialization"": 2.549000782892108e-06, ""rules_and_cilp_lowering"": 0.0013442489980661776}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2448, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 2448, ""persistent_tensor_logical_elements"": 624, ""persistent_tensor_nonzero_elements"": 131, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 16}",,[],13422592,463831040,467701760,506601472,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,flat,exact,2448
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_flat::cpu::r4,nested_next_control,X X a,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,4,1135,success,,,0.04044758300005924,"{""formula_parse"": 0.03456622999874526, ""monitor_initialization"": 2.9610018827952445e-06, ""rules_and_cilp_lowering"": 0.0012526089994935319}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2448, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 2448, ""persistent_tensor_logical_elements"": 624, ""persistent_tensor_nonzero_elements"": 131, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 16}",,[],13463552,463302656,467505152,502329344,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,flat,exact,2448
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r0,nested_next_control,X X a,rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,0,1137,success,,,0.03935326599821565,"{""formula_parse"": 0.03316892499788082, ""monitor_initialization"": 2.1520027075894177e-06, ""rules_and_structured_cilp_lowering"": 0.0013104919999022968}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 6, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2704, ""persistent_tensor_count"": 28, ""persistent_tensor_logical_bytes"": 2704, ""persistent_tensor_logical_elements"": 688, ""persistent_tensor_nonzero_elements"": 195, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 28}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 27}, ""total_rules"": 16}",,[],13430784,463486976,467980288,510599168,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,structured,exact,2704
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r1,nested_next_control,X X a,rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,1,1139,success,,,0.04639770799985854,"{""formula_parse"": 0.038452158001746284, ""monitor_initialization"": 2.472002961440012e-06, ""rules_and_structured_cilp_lowering"": 0.0019279210027889349}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 6, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2704, ""persistent_tensor_count"": 28, ""persistent_tensor_logical_bytes"": 2704, ""persistent_tensor_logical_elements"": 688, ""persistent_tensor_nonzero_elements"": 195, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 28}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 27}, ""total_rules"": 16}",,[],13471744,463286272,467955712,506253312,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,structured,exact,2704
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r2,nested_next_control,X X a,rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,2,1141,success,,,0.051597491998109035,"{""formula_parse"": 0.042689535999670625, ""monitor_initialization"": 3.612000000430271e-06, ""rules_and_structured_cilp_lowering"": 0.004071968996868236}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 6, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2704, ""persistent_tensor_count"": 28, ""persistent_tensor_logical_bytes"": 2704, ""persistent_tensor_logical_elements"": 688, ""persistent_tensor_nonzero_elements"": 195, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 28}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 27}, ""total_rules"": 16}",,[],13471744,463532032,467972096,510750720,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,structured,exact,2704
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r3,nested_next_control,X X a,rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,3,1143,success,,,0.04168325399950845,"{""formula_parse"": 0.035397989999182755, ""monitor_initialization"": 2.5139997887890786e-06, ""rules_and_structured_cilp_lowering"": 0.0013399769995885435}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 6, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2704, ""persistent_tensor_count"": 28, ""persistent_tensor_logical_bytes"": 2704, ""persistent_tensor_logical_elements"": 688, ""persistent_tensor_nonzero_elements"": 195, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 28}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 27}, ""total_rules"": 16}",,[],13520896,463634432,467451904,498765824,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,structured,exact,2704
e2.v1,e0.v1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,nested_next_control::rulerunner_original_structured::cpu::r4,nested_next_control,X X a,rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,4,1145,success,,,0.03796620999855804,"{""formula_parse"": 0.03206175599916605, ""monitor_initialization"": 2.0509978639893234e-06, ""rules_and_structured_cilp_lowering"": 0.001260687000467442}","{""ast_depth"": 2, ""ast_nodes"": 3, ""eval_rules"": 10, ""literals"": 16, ""modules"": 6, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2704, ""persistent_tensor_count"": 28, ""persistent_tensor_logical_bytes"": 2704, ""persistent_tensor_logical_elements"": 688, ""persistent_tensor_nonzero_elements"": 195, ""react_rules"": 6, ""tensor_devices"": {""cpu"": 28}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 27}, ""total_rules"": 16}",,[],13418496,463228928,467783680,502177792,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",all_applicable,structured,exact,2704
