schema_version,formula_id,monitor_id,architecture,construction,backend,workload_mode,timing_boundary,requested_device,effective_device,trace_profile,trace_length,batch_size,repetitions,timing_sample_count,latency_s_per_trace_median,latency_s_per_trace_ci95_low,latency_s_per_trace_ci95_high,latency_s_per_batch_p95,throughput_traces_s_median,throughput_traces_s_ci95_low,throughput_traces_s_ci95_high,compile_s_median,compile_s_ci95_low,compile_s_ci95_high,processed_cell_fraction_median,persistent_host_rss_delta_bytes_median,peak_runtime_host_rss_bytes_median,fallbacks
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.0011870566042186208,0.0011658113541367736,0.0012055238213568892,0.0012951806893527515,842.4198108549755,829.5149231264797,857.7717110504994,0.06630133200087585,0.06456909099870245,0.06827586600047653,1.0,3821568.0,450719744.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,8.425030468401928e-05,8.254407969161548e-05,9.105358680648755e-05,0.0030690656666835514,11869.393276979821,10982.543742348766,12114.739224617902,0.06630133200087585,0.06456909099870245,0.06827586600047653,1.0,3821568.0,450719744.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,5.72697998038052e-05,5.6052850585075475e-05,6.023522265744911e-05,0.007988850203961798,17461.209981976514,16601.582195302686,17840.30588207512,0.06630133200087585,0.06456909099870245,0.06827586600047653,1.0,3821568.0,450719744.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.0012443869374389276,0.0012155385227081504,0.001275473434677975,0.0013338823083662039,803.6085641159973,784.0226011861038,822.6806319326328,0.06702793799922802,0.06642838300103904,0.06836702200234868,1.0,3846144.0,452501504.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.00012697797991125168,0.00012353981696021168,0.00012888324739416626,0.00430330498929834,7875.381233021086,7758.960301036484,8094.556270243373,0.06702793799922802,0.06642838300103904,0.06836702200234868,1.0,3846144.0,452501504.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,9.55894335916696e-05,9.518226952565101e-05,9.857408593205719e-05,0.012945208650035055,10461.407316960476,10144.654049232131,10506.158394663056,0.06702793799922802,0.06642838300103904,0.06836702200234868,1.0,3846144.0,452501504.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,0.0012945930833060022,0.0012290024249523412,0.0013327175454998558,0.0014309516909964837,772.4434904644323,750.3465407029927,813.6680446653947,0.06721286500032875,0.06477904200073681,0.07155268799760961,1.0,3817472.0,450121728.0,0
rq4.v1,atomic_control,deepdfa_dense,deepdfa,fixed_dfa,dense,deployment,end_to_end,cpu,cpu,early_late_boundary,64,64,5,35,0.00010802720311176017,0.00010618502342651936,0.00011267458332516374,0.0073147340336921236,9256.927618180063,8875.116024295685,9417.523938222848,0.06721286500032875,0.06477904200073681,0.07155268799760961,1.0,3817472.0,450121728.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.002267231115323599,0.00223190879160029,0.0025775524613541514,0.002777566269063614,441.0666355279229,387.96494542525693,448.04698281733766,0.07119378999777837,0.0674418800008425,0.07340522300000885,1.0,4595712.0,452194304.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.00011926403385587037,0.00011607022321413751,0.00012516971428665004,0.0043723899000334705,8384.757480268461,7989.153012764005,8615.474083780331,0.07119378999777837,0.0674418800008425,0.07340522300000885,1.0,4595712.0,452194304.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,6.410802474003201e-05,6.248695312649488e-05,6.852818489259486e-05,0.009211735366382829,15598.671212459833,14592.535926164006,16003.340696987727,0.07119378999777837,0.0674418800008425,0.07340522300000885,1.0,4595712.0,452194304.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.0023515742500421766,0.0022942644544937966,0.0024803950833908552,0.0025976680000743117,425.24704460514675,403.16157965969575,435.8695433045179,0.07069615300133592,0.06815739099693019,0.07179344799806131,1.0,4640768.0,454336512.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0001620064343796912,0.00015775147812746582,0.00016369723749676268,0.005552399840016733,6172.594340644028,6108.838580857397,6339.084817905689,0.07069615300133592,0.06815739099693019,0.07179344799806131,1.0,4640768.0,454336512.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.00010449178125071512,0.00010243650781660563,0.00010602429882311526,0.014197355850228632,9570.130665115408,9431.800173169186,9762.144584139109,0.07069615300133592,0.06815739099693019,0.07179344799806131,1.0,4640768.0,454336512.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,0.0023318468461534046,0.0022861109232158363,0.0024383105833294394,0.002516765792377275,428.84463087684844,410.12002606925086,437.4240942750563,0.06831289899855619,0.06747157999780029,0.07069405800211825,1.0,4591616.0,451616768.0,0
rq4.v1,atomic_control,deepdfa_factored,deepdfa,fixed_dfa,factored_cubes,deployment,end_to_end,cpu,cpu,early_late_boundary,64,64,5,35,0.0001220579479005816,0.00011951484896144393,0.0001283935364616203,0.00842923593324182,8192.829858277792,7788.5540624463,8367.161140977594,0.06831289899855619,0.06747157999780029,0.07069405800211825,1.0,4591616.0,451616768.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.0073791240001810365,0.007207639000019602,0.007747516499875928,0.008092883387598704,135.51744082027437,129.07361991626792,138.74168781167876,0.12539689600089332,0.12324481099858531,0.13158533800014993,1.0,7159808.0,458006528.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0005175606406169209,0.0005017389843828823,0.000529561218741037,0.017201368550558982,1932.1407416298543,1888.3558021438391,1993.0681711526913,0.12539689600089332,0.12324481099858531,0.13158533800014993,1.0,7159808.0,458006528.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.0003458760937462557,0.00034029781249955704,0.0003640048749957714,0.047688596899388355,2891.2087828007784,2747.2159542138465,2938.6024924897265,0.12539689600089332,0.12324481099858531,0.13158533800014993,1.0,7159808.0,458006528.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.007762829667020317,0.007273561166584841,0.008301892666471153,0.00845344841673068,128.81900581284296,120.45446022672628,137.4842360017618,0.12610790399776306,0.12468231900129467,0.13169167000160087,1.0,7159808.0,461008896.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0005686737187602375,0.0005549270937308393,0.0006036764687564755,0.019675770699905115,1758.4776067726402,1656.5164483881883,1802.03852235234,0.12610790399776306,0.12468231900129467,0.13169167000160087,1.0,7159808.0,461008896.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.00038259686718333796,0.00038088571093908286,0.00039077473437032495,0.05225872349983547,2613.7171675292534,2559.019076838093,2625.4594784731516,0.12610790399776306,0.12468231900129467,0.13169167000160087,1.0,7159808.0,461008896.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,0.00736467066659922,0.007140832000004593,0.0075638436665030895,0.008193229300074259,135.7833968781892,132.20791492935751,140.03970405680414,0.12616443599836202,0.12311642399799894,0.13146310199954314,1.0,7159808.0,456962048.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_default,rulerunner,bounded_default,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,64,5,35,0.00035858349218642616,0.00035000932030015974,0.0003700596953137847,0.025027077399681727,2788.7507980431624,2702.2667225407245,2857.066775085942,0.12616443599836202,0.12311642399799894,0.13146310199954314,1.0,7159808.0,456962048.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.00742184783302946,0.007195215000137978,0.00801622683320602,0.008357020749766282,134.73733529670315,124.74696896770058,138.98125351095467,0.16432864799935487,0.15962976400260231,0.16857343000083347,1.0,7430144.0,457740288.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.000522680468748149,0.0005063053125127226,0.0005431343437294345,0.01927338074965519,1913.2147837761374,1841.165103155686,1975.0928447444874,0.16432864799935487,0.15962976400260231,0.16857343000083347,1.0,7430144.0,457740288.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.0003457323281281788,0.0003374178359365487,0.00036387555468309074,0.051101075798942464,2892.411032008711,2748.192306765228,2963.6844692111936,0.16432864799935487,0.15962976400260231,0.16857343000083347,1.0,7430144.0,457740288.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.007386743500319426,0.00727901899972494,0.007791204166399742,0.008037531312720602,135.37765321846587,128.34986462202963,137.38114985519175,0.16363136899963138,0.16146151999782887,0.16528885099978652,1.0,7430144.0,460906496.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0005829816875007054,0.0005468480624699623,0.0006220023436753763,0.0211405541989734,1715.3197457832498,1607.7109839989623,1828.6615033127757,0.16363136899963138,0.16146151999782887,0.16528885099978652,1.0,7430144.0,460906496.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,capacity,end_to_end,cpu,cpu,uniform_bernoulli_p0.5,64,128,5,35,0.00039020001560174933,0.00038663989843712443,0.0004141327109152826,0.05437740430133999,2562.788211214815,2414.684891202825,2586.38594734325,0.16363136899963138,0.16146151999782887,0.16528885099978652,1.0,7430144.0,460906496.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,1,5,35,0.007469309000346887,0.007211790333409833,0.0077580873336652685,0.008024651641517267,133.8811930198039,128.89774979209406,138.66182373152637,0.16048713299824158,0.158872476000397,0.16502426999795716,1.0,7430144.0,456421376.0,0
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,rulerunner,bounded_exact_online,flat_cilp,deployment,end_to_end,cpu,cpu,early_late_boundary,64,64,5,35,0.00037598135938310406,0.00035201271094820186,0.0003833496796801228,0.0254782478996276,2659.706325975208,2608.5844152378754,2840.8065075444065,0.16048713299824158,0.158872476000397,0.16502426999795716,1.0,7430144.0,456421376.0,0
rq4.v1,atomic_control,rulerunner_original_flat,rulerunner,original,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,1,5,35,0.007130908833156961,0.006860682833575993,0.007512954999886763,0.007683285749590141,140.23457926572382,133.1034193622978,145.75808622226748,0.05369962600161671,0.05272388400044292,0.0550549180006783,1.0,5111808.0,456069120.0,0
rq4.v1,atomic_control,rulerunner_original_flat,rulerunner,original,flat_cilp,capacity,core_native,cpu,cpu,uniform_bernoulli_p0.5,64,32,5,35,0.0002643160520771441,0.0002595183437392734,0.0002733766250078891,0.009055169050043332,3783.3494868792036,3657.957222828184,3853.2921626713824,0.05369962600161671,0.05272388400044292,0.0550549180006783,1.0,5111808.0,456069120.0,0
