schema_version,run_id,cell_id,formula_id,formula_family,monitor_id,monitor_name,architecture,construction,backend,requested_device,effective_device,workload_mode,timing_boundary,boundary_detail,trace_profile,trace_seed,repetition,trace_length,batch_size,early_termination,warmup_iterations,measurement_blocks,inner_iterations,status,median_duration_s_per_batch,p95_duration_s_per_batch,median_duration_s_per_trace,median_duration_s_per_cell,throughput_traces_s,throughput_cells_s,offered_traces,offered_cells,processed_traces,processed_cells,processed_cell_fraction,semantic_decision_indices_json,strata_counts_json,timing_samples_json,persistent_tensor_bytes,persistent_host_rss_delta_bytes,peak_runtime_host_rss_bytes,peak_runtime_gpu_allocated_bytes,peak_runtime_gpu_reserved_bytes,warnings_json,failure_reason
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r3::l64::b32,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,4637,3,64,32,False,2,7,18,success,0.0031168902777507254,0.0032086766221861274,9.740282117971017e-05,1.5219190809329714e-06,10266.643079618607,657065.1570955908,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.003046452555685796, 0.0030787424445103775, 0.0031732419999267827, 0.003037863611098146, 0.003149974277726465, 0.0031168902777507254, 0.003223862888868704]",,0,444944384,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r3::l64::b128,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,4637,3,64,128,False,2,7,4,success,0.012434194250090513,0.013405914075156034,9.714214257883214e-05,1.5178459777942521e-06,10294.193369149612,658828.3756255752,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.012141095499828225, 0.012434194250090513, 0.012387495999973908, 0.012620992750271398, 0.01307087499935733, 0.012391381250381528, 0.013549502250498335]",,0,444944384,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r4::l64::b1,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,5741,4,64,1,False,2,7,496,success,9.969217338831157e-05,0.00010615436855049108,9.969217338831157e-05,1.5576902091923683e-06,10030.877710980321,641976.1735027406,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[0.00010253873589253118, 0.00010116860282264937, 9.866078225821829e-05, 9.969217338831157e-05, 9.884485081285323e-05, 0.00010770392540390247, 9.682445564859307e-05]",,0,444665856,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r4::l64::b32,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,5741,4,64,32,False,2,7,18,success,0.0030491980556285447,0.003134720816625405,9.528743923839202e-05,1.4888662380998753e-06,10494.562641128177,671652.0090322034,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.0030900631110044843, 0.0031538598333200854, 0.0030607643887681966, 0.0029922172222237955, 0.003009343610958442, 0.0030491980556285447, 0.0030066845000773254]",,0,444665856,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r4::l64::b128,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,5741,4,64,128,False,2,7,4,success,0.012192516250252083,0.012671994100219307,9.52540332050944e-05,1.4883442688296e-06,10498.243133147644,671887.5605214492,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.012192516250252083, 0.01236182800039387, 0.012163181750111107, 0.012437411499377049, 0.012080754750058986, 0.012106774000130827, 0.012772529500580276]",,0,444665856,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::rulerunner_original_flat::r0::l64::b1,atomic_control,repair_control,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,1,False,2,7,6,success,0.007195153667150104,0.007741562883711595,0.007195153667150104,0.00011242427604922038,138.98243821609518,8894.876045830091,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[0.006893113499851704, 0.007622056666756786, 0.007195153667150104, 0.007186630999664582, 0.007792779833835084, 0.006970426333282376, 0.007198658999792921]",156,5222400,457396224,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::rulerunner_original_flat::r0::l64::b32,atomic_control,repair_control,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,32,False,2,7,4,success,0.009633929500523664,0.010105811950325005,0.0003010602968913645,4.70406713892757e-06,3321.593748247857,212581.99988786285,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.009398058999977366, 0.009633929500523664, 0.0100378080005612, 0.01013495650022378, 0.009613030500077002, 0.009831923999627179, 0.009499743500782643]",156,5222400,457396224,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::rulerunner_original_flat::r0::l64::b128,atomic_control,repair_control,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,128,False,2,7,2,success,0.016340449499693932,0.018108916600613156,0.00012765976171635884,1.994683776818107e-06,7833.321843588056,501332.5979896356,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.015952125499097747, 0.018165760000556475, 0.017976282000745414, 0.017221746000359417, 0.016340449499693932, 0.015921120500934194, 0.016301083500366076]",156,5222400,457396224,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::rulerunner_original_flat::r1::l64::b1,atomic_control,repair_control,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,2411,1,64,1,False,2,7,4,success,0.0073937779998232145,0.008099434225277946,0.0073937779998232145,0.00011552778124723773,135.24885383682198,8655.926645556607,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[0.008181110500117938, 0.007908856250651297, 0.007306985000468558, 0.007214844749796612, 0.007709163000072294, 0.0073937779998232145, 0.0072346525003013085]",156,5279744,457650176,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::rulerunner_original_flat::r1::l64::b32,atomic_control,repair_control,rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,2411,1,64,32,False,2,7,4,success,0.010143012999833445,0.010902839149821375,0.00031696915624479516,4.952643066324924e-06,3154.8810989915382,201912.39033545845,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.009934073750628158, 0.00978966374987067, 0.010547573750045558, 0.010080564249619783, 0.011055095749725297, 0.010357565000049362, 0.010143012999833445]",156,5279744,457650176,,,[],
