schema_version,formula_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,monitor_id,latency_s_per_trace_median,compile_s_median,persistent_host_rss_delta_bytes_median,pareto_optimal,dominated_by_json
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,32,rulerunner_original_flat,0.00030386479687649626,0.05441843299922766,5165056.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,32,rulerunner_progression_flat,0.0002061620742068726,0.054378842000005534,4886528.0,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,32,symbolic_guarded,9.541946874631119e-05,0.0636550620001799,inf,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,deepdfa_dense,9.55894335916696e-05,0.06702793799922802,3846144.0,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,deepdfa_factored,0.00010449178125071512,0.07069615300133592,4640768.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,rulerunner_bounded_flat_default,0.00038259686718333796,0.12610790399776306,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,rulerunner_bounded_flat_exact,0.00039020001560174933,0.16363136899963138,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,rulerunner_original_flat,0.00012840355859111696,0.05441843299922766,5165056.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,rulerunner_progression_flat,0.00010222656445080247,0.054378842000005534,4886528.0,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,128,symbolic_guarded,9.500275000107195e-05,0.0636550620001799,inf,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,deepdfa_dense,0.0012945930833060022,0.06721286500032875,3817472.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,deepdfa_factored,0.0023318468461534046,0.06831289899855619,4591616.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.00736467066659922,0.12616443599836202,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.007469309000346887,0.16048713299824158,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,rulerunner_original_flat,0.007163023500349179,0.05399548200148274,5165056.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,rulerunner_progression_flat,0.0044911772498987075,0.05495287500161794,4890624.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,1,symbolic_guarded,4.1048389855701396e-05,0.06652155999836395,inf,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,deepdfa_dense,0.00010802720311176017,0.06721286500032875,3817472.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,deepdfa_factored,0.0001220579479005816,0.06831289899855619,4591616.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,rulerunner_bounded_flat_default,0.00035858349218642616,0.12616443599836202,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,rulerunner_bounded_flat_exact,0.00037598135938310406,0.16048713299824158,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,rulerunner_original_flat,0.00018442920313077593,0.05399548200148274,5165056.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,rulerunner_progression_flat,0.000137464992188067,0.05495287500161794,4890624.0,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cpu,cpu,64,64,symbolic_guarded,4.056502187381739e-05,0.06652155999836395,inf,True,[]
rq4.v1,atomic_control,capacity,core_native,cuda,cpu,64,1,symbolic_guarded,5.626692521210728e-05,0.06510691799849155,inf,True,[]
rq4.v1,atomic_control,capacity,core_native,cuda,cpu,64,32,symbolic_guarded,5.7732784926777054e-05,0.06510691799849155,inf,True,[]
rq4.v1,atomic_control,capacity,core_native,cuda,cpu,64,128,symbolic_guarded,5.589963085839145e-05,0.06510691799849155,inf,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cuda,cpu,64,1,symbolic_guarded,9.683015357170786e-05,0.06717375699736294,inf,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cuda,cpu,64,32,symbolic_guarded,9.586395000269477e-05,0.06717375699736294,inf,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cuda,cpu,64,128,symbolic_guarded,9.544611913980816e-05,0.06717375699736294,inf,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cuda,cpu,64,1,symbolic_guarded,4.184721563383398e-05,0.06679877400165424,inf,True,[]
rq4.v1,atomic_control,deployment,end_to_end,cuda,cpu,64,64,symbolic_guarded,3.968852272671277e-05,0.06679877400165424,inf,True,[]
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,deepdfa_dense,0.0012301693600602448,0.11179481799990754,5083136.0,False,"[""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,deepdfa_factored,0.002273767100086843,0.11962404800215154,5971968.0,False,"[""deepdfa_dense"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.008744203500100411,0.12671061000219197,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.008856009500353442,0.1647795610006142,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat"", ""symbolic_guarded""]"
rq4.v1,ijcnn_balanced_n4,capacity,core_native,cpu,cpu,64,1,rulerunner_original_flat,0.008170100500137778,0.057222101000661496,6438912.0,False,"[""rulerunner_progression_flat""]"
