monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
ProgressionRuleRunnerStructuredMonitor,response,2,6000,100,5,1.581648325933338e-05,5.030043033376859e-07,cuda,True,Tesla T4
ProgressionRuleRunnerStructuredMonitor,response,2,7000,100,5,1.540505326942873e-05,4.17695699340218e-07,cuda,True,Tesla T4
ProgressionRuleRunnerStructuredMonitor,response,2,8000,100,5,1.5411069264500045e-05,3.069491198109664e-07,cuda,True,Tesla T4
ProgressionRuleRunnerStructuredMonitor,response,2,9000,100,5,1.5411290710888957e-05,1.9947782725095388e-07,cuda,True,Tesla T4
ProgressionRuleRunnerStructuredMonitor,response,2,10000,100,5,1.5009742868799913e-05,9.796968934205403e-08,cuda,True,Tesla T4
DeepDFAMonitor,response,2,1000,100,5,5.426969787999041e-06,1.1763094442599216e-06,cuda,True,Tesla T4
DeepDFAMonitor,response,2,2000,100,5,4.056933757000479e-06,3.453445812294366e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,3000,100,5,4.2733507920002006e-06,8.314438113953313e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,4000,100,5,3.944929952500161e-06,4.836114284012798e-08,cuda,True,Tesla T4
DeepDFAMonitor,response,2,5000,100,5,4.277490584000043e-06,7.465395018619415e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,6000,100,5,4.2248891739999025e-06,4.828962055433795e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,7000,100,5,4.210562700000083e-06,6.59482574866363e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,8000,100,5,4.174804003000077e-06,5.979856004097387e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,9000,100,5,4.224281191999884e-06,5.645822797395006e-07,cuda,True,Tesla T4
DeepDFAMonitor,response,2,10000,100,5,4.299027962800027e-06,3.604954816705129e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,1000,100,5,5.930496401998426e-06,1.0741908684318933e-06,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,2000,100,5,5.387047612999595e-06,5.738580067733439e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,3000,100,5,5.969159891333219e-06,1.1117495383703872e-06,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,4000,100,5,5.784094904000313e-06,8.883651188358401e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,5000,100,5,5.611307066800145e-06,9.537126288097027e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,6000,100,5,5.8355912693332355e-06,8.13123118431051e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,7000,100,5,5.514628623142795e-06,4.6248417135273373e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,8000,100,5,5.372045862250048e-06,5.771153491186817e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,9000,100,5,5.59674519355556e-06,5.602026977010419e-07,cuda,True,Tesla T4
DeepDFAMonitorFactored,response,2,10000,100,5,5.616219476399874e-06,5.611216427872581e-07,cuda,True,Tesla T4
