formula,read_once,trace_length,eps,sym_acc,raw_acc,norm_acc,raw_ece,norm_ece,raw_brier,norm_brier,raw_auc,norm_auc,raw_max_score,raw_frac_over1,noise,pos_rate
ijcnn_n4,True,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,beta,0.829
ijcnn_n4,True,3,0.1,0.9996666666666667,0.9984444444444445,0.9984444444444445,0.055592835082074306,0.05559283100321772,0.010792157679468334,0.010792157599545438,0.9999851851851852,0.9999851851851852,1.0,0.0,beta,0.829
ijcnn_n4,True,3,0.2,0.9974444444444445,0.9832222222222223,0.9832222222222223,0.09690669388324023,0.0969066900278752,0.02802593477332463,0.02802593468658138,0.9994256944444445,0.9994256944444445,0.9999963641166687,0.0,beta,0.829
ijcnn_n4,True,3,0.3,0.9908888888888888,0.9522222222222223,0.9522222222222223,0.11855186178245476,0.1185518578344749,0.04813131644446953,0.04813131618115998,0.9956263888888889,0.9956263888888889,0.999889075756073,0.0,beta,0.829
ijcnn_n4,True,3,0.4,0.9747777777777777,0.9092222222222223,0.9092222222222223,0.12751057393352191,0.1275105707405342,0.06709559807629317,0.06709559806089882,0.9859592592592592,0.9859592592592592,0.9995899399121603,0.0,beta,0.829
ijcnn_n4,True,3,0.5,0.9463333333333334,0.8632222222222222,0.8632222222222222,0.12221666292183929,0.12221665964027247,0.08727921572488873,0.08727921591518428,0.9639888888888889,0.9639888888888889,0.9991907477378845,0.0,beta,0.829
ijcnn_n4,True,3,0.6,0.9,0.8310000000000001,0.8310000000000001,0.10538762334982554,0.10538762184811963,0.10590756381381168,0.10590756427495353,0.9242613425925926,0.9242613425925926,0.9960523843765259,0.0,beta,0.829
ijcnn_n4,True,3,0.7,0.8468888888888889,0.8104444444444444,0.8104444444444444,0.08829478054907586,0.08829477939340803,0.12202835054715777,0.12202835057346195,0.8690962962962963,0.8690964120370371,0.9919307231903076,0.0,beta,0.829
ijcnn_n4,True,3,0.8,0.7903333333333333,0.8016666666666667,0.8016666666666667,0.05868689976798166,0.058686898006333255,0.13725160958714586,0.13725160941064316,0.7892288194444445,0.7892287037037038,0.9853383700052897,0.0,beta,0.829
ijcnn_n4,True,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.1,0.8943333333333333,0.8943333333333333,0.8943333333333333,0.10566666666666669,0.10566666666666669,0.10566666666666667,0.10566666666666667,0.8245833333333333,0.8245833333333333,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.2,0.8217777777777778,0.8217777777777778,0.8217777777777778,0.17822222222222225,0.17822222222222225,0.1782222222222222,0.1782222222222222,0.7069444444444445,0.7069444444444445,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.3,0.765888888888889,0.765888888888889,0.765888888888889,0.23411111111111108,0.23411111111111108,0.23411111111111113,0.23411111111111113,0.6128472222222222,0.6128472222222222,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.4,0.7257777777777777,0.7257777777777777,0.7257777777777777,0.2742222222222222,0.2742222222222222,0.2742222222222222,0.2742222222222222,0.5481944444444444,0.5481944444444444,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.5,0.6962222222222222,0.6962222222222222,0.6962222222222222,0.30377777777777776,0.30377777777777776,0.30377777777777776,0.30377777777777776,0.5013888888888889,0.5013888888888889,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.6,0.67,0.67,0.67,0.33,0.33,0.33,0.33,0.4614583333333333,0.4614583333333333,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.7,0.6532222222222223,0.6532222222222223,0.6532222222222223,0.3467777777777778,0.3467777777777778,0.3467777777777778,0.3467777777777778,0.4376388888888889,0.4376388888888889,1.0,0.0,bitflip,0.829
ijcnn_n4,True,3,0.8,0.6465555555555556,0.6465555555555556,0.6465555555555556,0.35344444444444445,0.35344444444444445,0.35344444444444445,0.35344444444444445,0.42326388888888894,0.42326388888888894,1.0,0.0,bitflip,0.829
