monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
DeepDFAMonitorDense,boundedresp_k4,6,500,256,5,1.4666715968754574e-06,2.9925103676593806e-08,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k6,8,500,256,5,2.281400585938087e-06,6.470464201024253e-08,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k8,10,500,256,5,4.460533418750146e-06,6.661884719672335e-07,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k10,12,500,256,5,3.7047051562506535e-06,6.937267003577436e-07,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k12,14,500,256,5,3.379809495313069e-06,4.54562828633912e-08,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k14,16,500,256,5,3.466884978125151e-06,7.017770541926362e-08,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k16,18,500,256,5,3.472547714062912e-06,4.938476425145989e-08,cuda,False,Tesla T4
DeepDFAMonitorDense,boundedresp_k18,20,500,256,5,5.248695026563155e-06,3.0655323018269497e-07,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k2,4,500,256,5,8.713420749995038e-07,2.0712724722769855e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k4,6,500,256,5,1.3777078156252287e-06,2.954615981733465e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k6,8,500,256,5,2.2330992968750963e-06,4.343093029138712e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k8,10,500,256,5,3.193548771874788e-06,5.4099826511044106e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k10,12,500,256,5,3.639018968749852e-06,6.534087864736236e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k12,14,500,256,5,5.666499210937558e-06,1.1760477818826729e-07,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k14,16,500,256,5,3.74355337343708e-06,3.5153037181480123e-08,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k16,18,500,256,5,4.052822360937114e-06,1.478158857590523e-07,cuda,False,Tesla T4
DeepDFAMonitorScan,boundedresp_k18,20,500,256,5,4.0071795812497865e-06,2.411390385996615e-08,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k2,4,500,256,5,2.4764091796875223e-06,1.0406536984846369e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k4,6,500,256,5,2.6288561593752037e-06,5.185122801524951e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k6,8,500,256,5,2.716988579687651e-06,7.620487731181627e-08,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k8,10,500,256,5,3.5731553015622803e-06,1.2182714790667108e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k10,12,500,256,5,3.876433118750456e-06,1.7138986104738543e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k12,14,500,256,5,5.3782768109378766e-06,8.744394766924889e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k14,16,500,256,5,3.929786829687743e-06,1.4763080450147658e-07,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k16,18,500,256,5,3.867005551562031e-06,3.657058837605719e-08,cuda,False,Tesla T4
DeepDFAMonitorFactored,boundedresp_k18,20,500,256,5,3.8594453875003155e-06,5.96934312034557e-08,cuda,False,Tesla T4
