schema_version,benchmark_schema_version,run_id,cell_id,formula_id,formula,monitor_id,monitor_name,architecture,construction,backend,requested_device,effective_device,repetition,worker_pid,status,failure_stage,failure_reason,compile_total_s,compile_stages_json,artifact_stats_json,validation_duration_s,warnings_json,startup_host_rss_bytes,baseline_host_rss_bytes,peak_compile_host_rss_bytes,peak_observed_host_rss_bytes,host_memory_limit_bytes,baseline_gpu_allocated_bytes,peak_compile_gpu_allocated_bytes,peak_compile_gpu_reserved_bytes,provenance_json,panel,formula_family,parameters_json,tree_shape,n_atoms,ast_depth,dfa_states,cube_count,dense_tensor_bytes,cube_tensor_bytes,persistent_bytes,total_rules
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,0,1127,success,,,0.04099817300084396,"{""formula_parse"": 0.03274370299914153, ""monitor_initialization"": 3.7520003388635814e-06, ""rules_and_cilp_lowering"": 0.0033354270017298404}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",,[],13381632,463036416,467705856,519290880,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,65148,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r1,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,1,1138,success,,,0.03979497500040452,"{""formula_parse"": 0.03212758900190238, ""monitor_initialization"": 2.907996531575918e-06, ""rules_and_cilp_lowering"": 0.003151503999106353}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",,[],13328384,463110144,467775488,515416064,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,65148,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r2,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,2,1149,success,,,0.047597643999324646,"{""formula_parse"": 0.03760334699836676, ""monitor_initialization"": 4.241002898197621e-06, ""rules_and_cilp_lowering"": 0.004134479000640567}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",,[],13438976,463118336,467673088,507191296,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,65148,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r3,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,3,1160,success,,,0.04322814700208255,"{""formula_parse"": 0.03458423700067215, ""monitor_initialization"": 3.995999577455223e-06, ""rules_and_cilp_lowering"": 0.003296698003396159}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",,[],13307904,463433728,468103168,936226816,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,65148,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r4,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,4,1171,success,,,0.04292447199986782,"{""formula_parse"": 0.0343890409967571, ""monitor_initialization"": 3.4339973353780806e-06, ""rules_and_cilp_lowering"": 0.003492890999041265}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",,[],13324288,463056896,467726336,513437696,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,65148,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,0,1182,success,,,0.04263857800106052,"{""formula_parse"": 0.033867583002574975, ""monitor_initialization"": 2.8050017135683447e-06, ""rules_and_structured_cilp_lowering"": 0.00357517899828963}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",,[],13213696,463171584,467664896,513617920,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,69468,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r1,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,1,1193,success,,,0.04161290599950007,"{""formula_parse"": 0.03307902699816623, ""monitor_initialization"": 2.7290006983093917e-06, ""rules_and_structured_cilp_lowering"": 0.003632447998825228}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",,[],13279232,463085568,467755008,515563520,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,69468,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r2,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,2,1204,success,,,0.039840339002694236,"{""formula_parse"": 0.032099135998578276, ""monitor_initialization"": 3.1519994081463665e-06, ""rules_and_structured_cilp_lowering"": 0.003399282999453135}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",,[],13324288,463241216,467910656,517783552,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,69468,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r3,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,3,1215,success,,,0.042379602000437444,"{""formula_parse"": 0.03378991199861048, ""monitor_initialization"": 2.7759997465182096e-06, ""rules_and_structured_cilp_lowering"": 0.003741647000424564}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",,[],13348864,463147008,467988480,517599232,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,69468,132
e2.v1,e0.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r4,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,4,1226,success,,,0.04078159400160075,"{""formula_parse"": 0.031965968999429606, ""monitor_initialization"": 2.9379989427980036e-06, ""rules_and_structured_cilp_lowering"": 0.0032733859989093617}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",,[],13287424,463114240,467726336,517816320,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}",tree_shape,ijcnn,"{""n_atoms"": 4}",balanced,4,4,,,,,69468,132
